"id","mission_number","mission_cruiseNumber","mission_deploymentDate","mission_recoveryDate","mission_batteryMax","mission_batteryMin","mission_deploymentLongitude","mission_deploymentLatitude","mission_recoveryLongitude","mission_recoveryLatitude","mission_minimumLongitude","mission_minimumLatitude","mission_maximumLongitude","mission_maximumLatitude","mission_waypointsGiven","mission_distanceTravelled","mission_numberOfYos","mission_numberOfScienceYos","mission_numberOfAlarms","mission_numberOfAlarmsWithOT","mission_hoursOfOT","mission_ballastedDensity","mission_comments","mission_argosTag_id","mission_deploymentVessel_id","mission_institute_id","mission_platformBattery_id","mission_platformName_id","mission_platformNavFirmware_id","mission_platformPayload_id","mission_platformPayloadFirmware_id","mission_platformRelease_id","mission_recoveryVessel_id","mission_profilingScheme","mission_summary","mission_network","mission_project"
"41","43","GLI2019_SEA024_43","2019-09-24","2019-10-15","29.2","26.3","-52.9747","48.7312","null","null","-53.28","48.67","-50.02","49.67","BB2-BB7-BB11-BB7-BB2-BB1-BB0.5-BB0.2-BB0","601","608","844","1","0","0","1025","Deployment delayed 1 week because of weather, first time 3 glider in the water. Iris was closed for 18h on a Sunday pm, glider drifted for 6.5h at the surface, data shift in the files due to the acq.1.period not 0 in the config file.","6","7","null","1","9","4","3","2","2","7","1","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Bonavista line...","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"42","72","GLI2019_SEA019_72","2019-10-22","2019-11-14","29.2","25.7","-63.4182","44.5097","null","null","-63.43","42.56","-61.45","44.53","GL1-GL2-GL3-HL7-GL3-GL2-GL1-GL5-Tri-DR","605","1365","566","2","2","2","1023.25","none - no more datastream problem","1","1","null","1","6","5","1","2","3","1","2","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"43","43","GLI2019_SEA032_43","2019-10-22","2019-11-14","29.2","26.2","-63.4182","44.5097","null","null","-63.42","43.67","-62.68","44.54","GL1-HL3-REC-HL3-GL1-GL5-Tri-DR","454","949","1898 acoustic","7","4","4","1023.25","porpoise sent 9999 at some point but fixed when rebooted, drift ballast -200 when geting the deazone limit… too much it triggers alarms, deadzone disapeared for 18h and triggered ballast at our targetted depth….plus many more behaviors I dont understand. Touched ground in triangle.","8","1","null","1","10","5","6","3","3","1","1","Cetacean Passive Acoustic Monitoring Glider Project","OceanGliders > BOON > Northwest Atlantic Ocean",""
"44","45","GLI2019_SEA024_45","2019-11-14","2019-12-05","29.1","26.1","-63.3578","44.4424","null","null","-63.59","42.64","-61.47","44.45","GL1-GL2-GL3-HL7-GL3-GL2-GL1-GL5-tri-OS","572","1140","570","1","0","0","1023.25","Very strong current around HL2, glider struggled, recovery on the other side of ship lanes","6","1","null","1","9","6","3","2","2","1","2","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"45","76","GLI2020_SEA019_76","2020-02-17","2020-03-09","29.2","25.9","-63.3546","44.3983","null","null","-63.44","42.59","-61.53","44.53","GL1-GL2-GL3-HL7-GL3-GL2-GL1-GL4-DR","564","1248","725","3","2","2","1024.5","First mission with glimpse and comm to pld via iridium. Attached dropweight with rope. Changed the maindatalogger from 0 to 1. 1 64 alarm","8","1","null","1","6","7","1","4","4","1","flexible","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"46","53","GLI2020_SEA022_53","2020-03-09","2020-03-25","29","25.5","-63.4131","44.5179","null","null","-63.56","42.97","-61.93","44.52","GL1-GL2-GL3-GL2-GL1-GL4-temp-DR","438","1014","2028","7+","5","5","1024.5","SEA032 PLD was put on SEA022, dropweight attached, multiple 64 alarms masked, mission was cut short because of coronavirus. Stong NSC on the way back","6","1","null","2","8","7","5","4","4","9","1","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"47","78","GLI2020_SEA019_78","2020-06-18","2020-07-06","29.1","26.1","-63.4008","44.4926","null","null","-63.44","42.92","-61.84","44.5","GL1-GL2-GL3-HL5.5-GL3-GL2-GL1-Tri-tip-side","495","1182","1186","10+","7","7","1023.25","Deployed by Jude. Big internal waves on plateau,we are losing 1/5 of our autonomy by sampling all the time. Changed sampling rate to up on second yo for the way back.","1","9","null","1","6","7","1","4","4","1","1 to 2","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"48","50","GLI2020_SEA024_50","2020-07-06","2020-07-27","29.3","26.1","-63.4252","44.4803","null","null","-63.43","42.54","-61.43","44.53","GL1-GL2-GL3-HL7-GL3-GL2-GL1-Tri-DR","583","1240","924","6+","5","5","1023.25","now have dead reckoning, warm up FLBBCD max 10s","1","1","null","1","9","8","3","5","2","1","flexible","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"49","46","GLI2020_SEA032_46","2020-07-06","2020-07-27","29.2","26.3","-63.4234","44.4779","null","null","-63.35","42.91","-62.81","44.53","GL1-AMAR-DS2-DS3-DS4-DS5-DS6-DS2-HL3-GL1-TRI-DR","497","1035","2070 acoustic","6+","3","3","1023.25","low noise and easy drift option, raw pld file has a lot of empty lines but its my fault has I put maindatalogger at 1s. Easy drift works well in theorie but glider never reach the exact ballast.","10","1","null","1","10","8","6","5","4","1","1","Cetacean Passive Acoustic Monitoring Glider Project","OceanGliders > BOON > Northwest Atlantic Ocean",""
"50","58","GLI2020_SEA022_58","2020-07-24","2020-08-18","28.5","24.2","-53.5362","47.8574","null","null","-53.54","47.85","-50.08","49.66","TRI1-2-3-4-BB2-4-7-10-11-10-7-4-2-1 and/or WP from path planning (Nicolai)","627","742","1304","14+","4","4","1025","Glider started mission with 28.6 volt only. Was deployed in Trinity Bay because hard to find boat in Bonavista with covid. Alarm 64 masked from the beginning. Difficulties with strong pycnocline, change zt from 10 to 15. Recovery in rough water as battery was already very low.","4","10","null","2","8","7","5","4","4","7","1","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Bonavista line...","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"51","60","GLI2020_SEA022_60","2020-08-20","2020-09-15","29.1","24.2","-52.986","48.729","null","null","-53.32","48.65","-49.29","49.94","BB2-4-7-10-11-12-13-12-11-10-7-4-2-0.5-0","689","700","1400","16+","8","8","1023.75","ballast.hy=30; removed 3 washers, 2048 masked because of strong pycno at 10m.","4","7","null","2","8","7","5","4","4","7","1","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Bonavista line...","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"52","61","GLI2020_SEA022_61","2020-09-16","2020-10-07","29.1","25.3","-52.9823","48.7239","null","null","-53.05","48.68","-49.75","49.72","BB2-4-7-10-11-12-13-12-11-10-7-4-2-1-please","575","645","858","10+","7","7","1023.75","Rinko was not working the 2 first dive but got fixed but unpluging and repluging, sampling pattern 011/1 on the way back, really struggle with current on the way back, could not go north to make it in Bay","4","7","null","2","8","7","5","4","4","7","1","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Bonavista line...","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"53","84","GLI2020_SEA019_84","2020-09-28","2020-10-16","29.1","26.2","-63.3266","44.376","null","null","-63.43","42.83","-61.69","44.47","GL1-GL2-GL3-HL6-GL3-GL2-GL1-Tri-DR","469","1015","742","11","8","8","1022.8","CTD of SEA021, first mission with Legato and test for pitch auto adjustments. All sensor turned off on the way back, sensors turned back on for HL5 AZMP station comparison and at recovery for RBR cast ","10","1","null","1","6","9","1","5","4","1","flexible","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"54","51","GLI2020_SEA032_51","2020-10-20","2020-11-09","29.2","26.3","-63.3638","44.3949","null","null","-63.43","42.74","-61.64","44.52","GL1-GL2-GL3-HL6.3-GL3-GL2-GL1-Northern-DR","498","1080","819","3","2","2","1023.5","PLD of sea022 but GPCTD of sea021. Iridium issues for several days gps position corropted barely any files coming through. Only had 0.5 days weather window that week","9","1","null","1","10","8","4","5","4","1","flexible","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"55","57","GLI2021_SEA021_57","2021-02-15","2021-03-10","29.1","24.8","-63.3351","44.3807","null","null","-63.43","42.57","-61.53","44.5","GL1-GL2-GL3-HL7-GL3-GL2-GL1-NSC-Tip- Rec","601","1392","1241","7+","6","6","1024.5","New battery, new release, auto pitch mission. Weird altimeter hits at surface. Struggled with NSC on the way out and bad weather on the way back, both delaying the progress forward by several days.","4","1","null","2","7","10","2","6","4","5","flexible","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"56","64","GLI2020_SEA022_64","2021-03-10","2021-03-31","29.1","24.9","-63.3301","44.3802","null","null","-63.41","42.69","-61.52","44.54","GL1-GL2-GL3-HL7-GL3-GL2-GL1-NSC-Tri- DR","578","1318","1132","1+","1","1","1024.5","Altimeter hits at surface, masked 2058 in day 2. ","7","5","null","2","8","10","5","6","4","1","flexible","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"57","59","GLI2021_SEA021_59","2021-04-07","2021-04-29","29.1","24.9","-63.3317","44.3768","null","null","-63.47","42.47","-61.49","44.53","GL1-GL2-GL3-HL7-GL3-GL2-GL1-NSC-Tri- DR","635","1125","1114","0","0","0","1024.5","Firmware upgrade alti fixed. Lots of crazy readings for angular, heading and roll on the way back. Glider always km west of the line.","4","1","null","2","7","11","2","6","4","1","flexible","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"58","94","GLI2021_SEA019_94","2021-05-07","2021-05-11","29.1","28.4","-63.3365","44.3802","null","null","-63.42","43.72","-62.67","44.39","GL1-GL2","104","134","268","1","0","0","1023.5","First mission after maintenance and battery upgrade. Heading low noise ON. Water inlet alarm after 4 days. Mission aborted. Argos tag running for 24h.","10","1","null","2","6","11","1","6","3","4","flexible","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"59","66","GLI2021_SEA022_66","2021-05-31","2021-06-21","29","25.4","-63.4605","44.5309","null","null","-63.47","42.46","-61.41","44.54","GL1-GL2-GL3-GL7-GL3-GL2-GL1-NSC-Tri- DR","626","1033","894","1","1","1","1024","with pld of sea024, rough deployment","7","1","null","2","8","11","3","6","4","1","flexible","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"60","60","GLI2021_SEA032_60","2021-06-07","2021-06-21","29.2","26.7","-63.3341","44.3781","null","null","-63.41","43.45","-62.85","44.52","GL1-EMB-EB2-EB3-GL1-Tri- DR","332","486","see comment","0","0","0","1023.5","With legato and ecopuck, legato was not working on first deployment attempt, mission shortened by one week. Science profile accoustique 664/974, ctd and ecopuck 285 plus 12 x 2h drift and 1 x 6h drift","4","1","null","1","10","11","6","6","4","1","acc 1, ctd and eco 5","Cetacean Passive Acoustic Monitoring Glider Project","OceanGliders > BOON > Northwest Atlantic Ocean",""
"61","63","GLI2021_SEA024_63","2021-06-21","2021-06-30","28.9","27.4","-53.6637","47.7349","null","null","-53.68","47.7","-52.69","48.48","Tri0.5-Tri1-Tri2-Tri2.5-Tri2.8-Tri2.5-Tri2-Tri0.5-Tri00","250","177","354","0","0","0","1024","new dropweight and battery, pld of sea032 with rinko and minifluo. Short mission in Trinity bay due to lack of time.","2","8","null","2","9","11","5","6","3","8","1","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Bonavista line...","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"62","68","GLI2021_SEA022_68","2021-07-12","2021-08-03","29.1","25","-63.4414","44.4784","null","null","-63.44","42.43","-61.4","44.55","GL1-GL2-GL3-GL7-GL3-GL2-GL1-NSC-Tri- DR","642","1154","1013","5+","4","4","1023","pld of sea024, internal waves at shelf break causing multiple alarms","7","1","null","2","8","11","3","6","4","5","flexible","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"63","62","GLI2021_SEA032_62","2021-07-12","2021-08-03","29.2","25.9","-63.4432","44.4761","null","null","-63.45","43.47","-62.68","44.55","GL1-EM3-EMB-EB2-EB4-EB5-EB6-Tri- DR","493","808","see comment","2","1","1","1023","With legato and ecopuck. Science profile accoustique 1600, ctd and ecopuck 245 plus 45 x 2h drift","4","1","null","1","10","11","6","7","4","5","acc 1, ctd and eco 5","Cetacean Passive Acoustic Monitoring Glider Project","OceanGliders > BOON > Northwest Atlantic Ocean",""
"64","65","GLI2021_SEA024_65","2021-07-21","2021-08-10","28.8","25.1","-52.9789","48.7274","null","null","-53","48.7","-50.2","50.16","BBn1.5-BBn2-BBn3-BBn4-BBn5-BBn4-BBn3-BBn2-BBn1.5-BB1","567","558","1116","0","0","0","1024","pld of sea032 with rinko and minifluo","2","7","null","2","9","11","5","6","3","7","1","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Bonavista line...","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"65","67","GLI2021_SEA024_67","2021-09-01","2021-09-28","28.9","24.5","-52.9862","48.7321","null","null","-53.05","48.68","-49.41","50.64","BBn1.5-BBn2-BBn3-BBn4-BBn5-BBn6-BBn5-BBn4-BBn3-BBn2-BBn1.5-BB1-please","733","702","540","1","1","1","1024","pld of sea032 with rinko and minifluo, changed sampling rate for hurricane Larry, noticed weird GPCTD data from DO at dive 181 and from other properties at dive 232. corrosion is the best hypothesis. Pld off at bb01 to go to bonavista bay. Corrosion confirmed on GPCTD bulkhead connector.","2","7","null","2","9","11","5","6","3","7","1, flexible for hurricane","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Bonavista line...","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"66","70","GLI2021_SEA022_70","2021-09-14","2021-10-05","29.1","25.3","-63.4446","44.4797","null","null","-63.46","42.6","-61.53","44.53","GL1-GL2-GL3-GL7-GL3-GL2-GL1-NSC-Tri- DR","578","1066","1031","7","4","4","1022","pld of sea024","7","1","null","2","8","12","3","7","4","1","flexible","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"67","65","GLI2021_SEA032_65","2021-09-14","2021-10-05","29.2","26","-63.4394","44.4848","null","null","-63.46","43.46","-62.65","44.53","W1-W2-W3-W4-W5-W6-W1-Tri- DR","441","700","see comment","2","2","2","1022","With legato and ecopuck. Science profile accoustique 1400, ctd and ecopuck 338 plus 13 x 2h drift. The ctd and eco sampling was not consistent, sometime being forgotten to be turned on and sometime sampling at 100% instead of 20%","4","1","null","1","10","12","6","7","4","1","acc 1, ctd and eco 5","Cetacean Passive Acoustic Monitoring Glider Project","OceanGliders > BOON > Northwest Atlantic Ocean",""
